date,client,fund,RIC,percent,benchmark,AUM,source_url
30-09-2025,Pendal,Pendal Australian Share Fund,BHP,9.0,S&P-ASX 300,670000000,
30-09-2025,Pendal,Pendal Australian Share Fund,CBA,7.9,S&P-ASX 300,670000000,
30-09-2025,Pendal,Pendal Australian Share Fund,NAB,6.7,S&P-ASX 300,670000000,
30-09-2025,Pendal,Pendal Australian Share Fund,CSL,6.7,S&P-ASX 300,670000000,
30-09-2025,Pendal,Pendal Australian Share Fund,TLS,5.2,S&P-ASX 300,670000000,
30-09-2025,Pendal,Pendal Australian Share Fund,XRO,4.0,S&P-ASX 300,670000000,
30-09-2025,Pendal,Pendal Australian Share Fund,ALL,3.4,S&P-ASX 300,670000000,
30-09-2025,Pendal,Pendal Australian Share Fund,QBE,3.3,S&P-ASX 300,670000000,
30-09-2025,Pendal,Pendal Australian Share Fund,QAN,3.2,S&P-ASX 300,670000000,
30-09-2025,Pendal,Pendal Australian Share Fund,GMG,3.1,S&P-ASX 300,670000000,
30-09-2025,Pendal,Pendal Australian Equity Fund,BHP,9.0,S&P-ASX 300,115000000,
30-09-2025,Pendal,Pendal Australian Equity Fund,CBA,7.9,S&P-ASX 300,115000000,
30-09-2025,Pendal,Pendal Australian Equity Fund,NAB,6.7,S&P-ASX 300,115000000,
30-09-2025,Pendal,Pendal Australian Equity Fund,CSL,6.6,S&P-ASX 300,115000000,
30-09-2025,Pendal,Pendal Australian Equity Fund,TLS,5.1,S&P-ASX 300,115000000,
30-09-2025,Pendal,Pendal Australian Equity Fund,XRO,3.9,S&P-ASX 300,115000000,
30-09-2025,Pendal,Pendal Australian Equity Fund,ALL,3.4,S&P-ASX 300,115000000,
30-09-2025,Pendal,Pendal Australian Equity Fund,QBE,3.2,S&P-ASX 300,115000000,
30-09-2025,Pendal,Pendal Australian Equity Fund,QAN,3.2,S&P-ASX 300,115000000,
30-09-2025,Pendal,Pendal Australian Equity Fund,GMG,3.1,S&P-ASX 300,115000000,
30-09-2025,Pendal,Pendal Australian Long Short Fund,BHP,9.0,S&P-ASX 200,639000000,
30-09-2025,Pendal,Pendal Australian Long Short Fund,CBA,8.0,S&P-ASX 200,639000000,
30-09-2025,Pendal,Pendal Australian Long Short Fund,ANZ,6.3,S&P-ASX 200,639000000,
30-09-2025,Pendal,Pendal Australian Long Short Fund,CSL,6.0,S&P-ASX 200,639000000,
30-09-2025,Pendal,Pendal Australian Long Short Fund,NAB,5.7,S&P-ASX 200,639000000,
30-09-2025,Pendal,Pendal Australian Long Short Fund,TLS,4.4,S&P-ASX 200,639000000,
30-09-2025,Pendal,Pendal Australian Long Short Fund,WBC,4.3,S&P-ASX 200,639000000,
30-09-2025,Pendal,Pendal Australian Long Short Fund,ALL,3.2,S&P-ASX 200,639000000,
30-09-2025,Pendal,Pendal Australian Long Short Fund,XRO,2.9,S&P-ASX 200,639000000,
30-09-2025,Pendal,Pendal Australian Long Short Fund,QAN,2.8,S&P-ASX 200,639000000,
30-09-2025,Pendal,Pendal Focus Australian Share Fund,BHP,9.5,S&P-ASX 300,2280000000,
30-09-2025,Pendal,Pendal Focus Australian Share Fund,NAB,7.8,S&P-ASX 300,2280000000,
30-09-2025,Pendal,Pendal Focus Australian Share Fund,CBA,7.5,S&P-ASX 300,2280000000,
30-09-2025,Pendal,Pendal Focus Australian Share Fund,CSL,7.0,S&P-ASX 300,2280000000,
30-09-2025,Pendal,Pendal Focus Australian Share Fund,TLS,5.2,S&P-ASX 300,2280000000,
