date,client,portfolio,stock
January-2025,Wilson Asset Management,WAA,360
January-2025,Wilson Asset Management,WAA,A2M
January-2025,Wilson Asset Management,WAA,ADH
January-2025,Wilson Asset Management,WAA,ALQ
January-2025,Wilson Asset Management,WAA,AMP
January-2025,Wilson Asset Management,WAA,ASB
January-2025,Wilson Asset Management,WAA,CAR
January-2025,Wilson Asset Management,WAA,DGT
January-2025,Wilson Asset Management,WAA,HMC
January-2025,Wilson Asset Management,WAA,HUB
January-2025,Wilson Asset Management,WAA,IDX
January-2025,Wilson Asset Management,WAA,INA
January-2025,Wilson Asset Management,WAA,JDO
January-2025,Wilson Asset Management,WAA,KBC
January-2025,Wilson Asset Management,WAA,MGH
January-2025,Wilson Asset Management,WAA,NWH
January-2025,Wilson Asset Management,WAA,PBH
January-2025,Wilson Asset Management,WAA,PNI
January-2025,Wilson Asset Management,WAA,SRG
January-2025,Wilson Asset Management,WAA,ZIP
January-2025,Wilson Asset Management,WAM,360
January-2025,Wilson Asset Management,WAM,A2M
January-2025,Wilson Asset Management,WAM,ALQ
January-2025,Wilson Asset Management,WAM,AMP
January-2025,Wilson Asset Management,WAM,CDA
January-2025,Wilson Asset Management,WAM,GDG
January-2025,Wilson Asset Management,WAM,GEM
January-2025,Wilson Asset Management,WAM,GTK
January-2025,Wilson Asset Management,WAM,HMC
January-2025,Wilson Asset Management,WAM,IRE
January-2025,Wilson Asset Management,WAM,JDO
January-2025,Wilson Asset Management,WAM,MFT
January-2025,Wilson Asset Management,WAM,MGH
January-2025,Wilson Asset Management,WAM,NWH
January-2025,Wilson Asset Management,WAM,PGC
January-2025,Wilson Asset Management,WAM,REG
January-2025,Wilson Asset Management,WAM,SNL
January-2025,Wilson Asset Management,WAM,SSM
January-2025,Wilson Asset Management,WAM,SUM
January-2025,Wilson Asset Management,WAM,TUA
January-2025,Wilson Asset Management,WAR,AOF
January-2025,Wilson Asset Management,WAR,CD2
January-2025,Wilson Asset Management,WAR,CD3
January-2025,Wilson Asset Management,WAR,CIN
January-2025,Wilson Asset Management,WAR,CIW
January-2025,Wilson Asset Management,WAR,DSK
January-2025,Wilson Asset Management,WAR,GDC
January-2025,Wilson Asset Management,WAR,LRK
January-2025,Wilson Asset Management,WAR,NGE
January-2025,Wilson Asset Management,WAR,NSC
January-2025,Wilson Asset Management,WAR,PAI
January-2025,Wilson Asset Management,WAR,PIA
January-2025,Wilson Asset Management,WAR,PIC
January-2025,Wilson Asset Management,WAR,PMC
January-2025,Wilson Asset Management,WAR,RG8
January-2025,Wilson Asset Management,WAR,SB2
January-2025,Wilson Asset Management,WAR,TEK
January-2025,Wilson Asset Management,WAR,VG1
January-2025,Wilson Asset Management,WAR,WGB
January-2025,Wilson Asset Management,WAR,WQG
January-2025,Wilson Asset Management,WMI,ADH
January-2025,Wilson Asset Management,WMI,AIM
January-2025,Wilson Asset Management,WMI,ANG
January-2025,Wilson Asset Management,WMI,APX
January-2025,Wilson Asset Management,WMI,BVS
January-2025,Wilson Asset Management,WMI,EML
January-2025,Wilson Asset Management,WMI,EVO
January-2025,Wilson Asset Management,WMI,GDG
January-2025,Wilson Asset Management,WMI,GTK
January-2025,Wilson Asset Management,WMI,IDX
January-2025,Wilson Asset Management,WMI,PBH
January-2025,Wilson Asset Management,WMI,PGC
January-2025,Wilson Asset Management,WMI,QOR
January-2025,Wilson Asset Management,WMI,REG
January-2025,Wilson Asset Management,WMI,SLC
January-2025,Wilson Asset Management,WMI,SNL
January-2025,Wilson Asset Management,WMI,SSM
January-2025,Wilson Asset Management,WMI,TUA
January-2025,Wilson Asset Management,WMI,UNI
February-2025,Wilson Asset Management,WAA,360
February-2025,Wilson Asset Management,WAA,A2M
February-2025,Wilson Asset Management,WAA,ALQ
February-2025,Wilson Asset Management,WAA,ASB
February-2025,Wilson Asset Management,WAA,CAR
February-2025,Wilson Asset Management,WAA,GDG
February-2025,Wilson Asset Management,WAA,HSN
February-2025,Wilson Asset Management,WAA,HUB
February-2025,Wilson Asset Management,WAA,IDX
February-2025,Wilson Asset Management,WAA,KBC
February-2025,Wilson Asset Management,WAA,OML
February-2025,Wilson Asset Management,WAA,ORI
February-2025,Wilson Asset Management,WAA,PBH
February-2025,Wilson Asset Management,WAA,PYC
February-2025,Wilson Asset Management,WAA,QOR
February-2025,Wilson Asset Management,WAA,SEK
February-2025,Wilson Asset Management,WAA,SRG
February-2025,Wilson Asset Management,WAA,SUM
February-2025,Wilson Asset Management,WAA,TLX
February-2025,Wilson Asset Management,WAA,WEB
February-2025,Wilson Asset Management,WAM,A2M
February-2025,Wilson Asset Management,WAM,ALQ
February-2025,Wilson Asset Management,WAM,AMP
February-2025,Wilson Asset Management,WAM,EVT
February-2025,Wilson Asset Management,WAM,GDG
February-2025,Wilson Asset Management,WAM,GEM
February-2025,Wilson Asset Management,WAM,GTK
February-2025,Wilson Asset Management,WAM,HUB
February-2025,Wilson Asset Management,WAM,INA
February-2025,Wilson Asset Management,WAM,JDO
February-2025,Wilson Asset Management,WAM,MGH
February-2025,Wilson Asset Management,WAM,MYR
